State,District,Population,Area (in km^2),Latitude,Longitude
Sikkim,West Sikkim,136299,1166,27.28,88.25
Tamil Nadu,Ariyalur,752481,3208,11.13,79.07
Tamil Nadu,Chengalpattu,2556244,2945,12.68,79.98
Tamil Nadu,Chennai,7100000,426,13.08,80.27
Tamil Nadu,Coimbatore,3472578,7469,11.00,76.97
Tamil Nadu,Cuddalore,2600880,3999,11.75,79.75
Tamil Nadu,Dharmapuri,1502900,4532,12.12,78.15
Tamil Nadu,Dindigul,2161367,6058,10.35,77.98
Tamil Nadu,Erode,2259608,5714,11.35,77.73
Tamil Nadu,Kallakurichi,1370281,3520,11.73,78.95
Tamil Nadu,Kanchipuram,1166401,1656,12.82,79.72
Tamil Nadu,Kanyakumari,1863178,1685,8.07,77.53
Tamil Nadu,Karur,1076588,2901,10.95,78.07
Tamil Nadu,Krishnagiri,1883731,5086,12.52,78.20
Tamil Nadu,Madurai,3991038,3676,9.83,77.83
Tamil Nadu,Mayiladuthurai,0,0,11.10,79.65
Tamil Nadu,Nagapattinam,1614069,2716,10.77,79.82
Tamil Nadu,Nilgiris,735071,2549,11.42,76.68
Tamil Nadu,Namakkal,1721179,3429,11.22,78.17
Tamil Nadu,Perambalur,564511,1752,11.23,78.87
Tamil Nadu,Pudukkottai,1918725,4651,10.38,78.82
Tamil Nadu,Ramanathapuram,1337560,4123,9.38,78.75
Tamil Nadu,Ranipet,1210277,2234,12.93,79.33
Tamil Nadu,Salem,3480008,5245,11.65,78.13
Tamil Nadu,Sivaganga,1341250,4086,9.72,78.82
Tamil Nadu,Tenkasi,1407627,2916,8.97,77.30
Tamil Nadu,Tirupur,2471222,5106,11.18,77.25
Tamil Nadu,Tiruchirappalli,2713858,4407,10.78,78.68
Tamil Nadu,Theni,1243684,3066,10.07,77.75
Tamil Nadu,Tirunelveli,1665253,3842,8.72,77.70
Tamil Nadu,Thanjavur,2402781,3397,10.78,79.13
Tamil Nadu,Thoothukudi,1738376,4594,8.80,78.13
Tamil Nadu,Tirupattur,1111812,1792,12.50,78.60
Tamil Nadu,Tiruvallur,3725697,3424,13.13,79.90
Tamil Nadu,Tiruvarur,1268094,2377,10.77,79.63
Tamil Nadu,Tiruvannamalai,2468965,6191,12.42,79.12
Tamil Nadu,Vellore,1614242,2080,12.90,79.13
Tamil Nadu,Viluppuram,2093003,3725,11.95,79.52
Tamil Nadu,Virudhunagar,1943309,3446,9.58,77.95
Telangana,Adilabad,708952,4185.97,19.67,78.52
Telangana,Komaram Bheem,515835,4300.16,0.00,0.00
Telangana,Bhadradri Kothagudem,1304811,8951,0.00,0.00
Telangana,Hyderabad,3441992,4325.29,17.37,78.48
Telangana,Jagtial,983414,3043.23,18.80,78.93
Telangana,Jangaon,582457,2187.5,17.72,79.18
Telangana,Jayashankar Bhupalpally,712257,6361.7,0.00,0.00
Telangana,Jogulamba Gadwal,664971,2928,0.00,0.00
Telangana,Kamareddy,972625,3651,18.32,78.33
Telangana,Karimnagar,1016063,2379.07,18.43,79.12
Telangana,Khammam,1401639,4453,17.25,80.17
Telangana,Mahabubabad,770170,2876.7,17.62,80.02
Telangana,Mahbubnagar,1318110,4037,16.75,78.00
Telangana,Mancherial,807037,4056.36,18.87,79.43
Telangana,Medak,767428,2740.89,18.03,78.25
Telangana,Medchal-Malkajgiri,2542203,5005.98,0.00,0.00
Telangana,Mulugu,294671,3881,18.18,79.93
Telangana,Nalgonda,1631399,2449.79,17.05,79.27
Telangana,Narayanpet,566874,2336.44,16.73,77.50
Telangana,Nagarkurnool,893308,6545,16.48,78.33
Telangana,Nirmal,709415,3562.51,19.10,78.35
Telangana,Nizamabad,1534428,4153,18.68,78.10
Telangana,Peddapalli,795332,4614.74,18.60,79.38
Telangana,Rajanna Sircilla,546121,2030.89,0.00,0.00
Telangana,Ranga Reddy,2551731,1038,17.30,78.10
Telangana,Sangareddy,1527628,4464.87,17.62,78.08
Telangana,Siddipet,993376,3425.19,18.10,78.85
Telangana,Suryapet,1099560,3374.47,17.13,79.62
Telangana,Vikarabad,881250,3385,17.33,77.90
Telangana,Wanaparthy,751553,2938,16.35,78.05
Telangana,Warangal Urban,1135707,1304.5,17.95,79.50
Telangana,Warangal Rural,716457,2175.5,0.00,0.00
Telangana,Yadadri Bhuvanagiri,726465,3091.48,0.00,0.00
Tripura,Dhalai,377988,2400,23.93,91.85
Tripura,Gomati,436868,1522.8,23.55,91.48
Tripura,Khowai,327391,1005.67,23.88,91.63
Tripura,North Tripura,415946,1444.5,24.33,92.02
Tripura,Sepahijala,484233,1044.78,23.62,91.32
Tripura,South Tripura,433737,1534.2,23.53,91.48
Tripura,Unokoti,277335,591.93,0.00,0.00
Tripura,West Tripura,917534,942.55,23.92,91.50
Uttar Pradesh,Agra,4380793,4027,27.08,77.97
Uttar Pradesh,Aligarh,3673849,3747,27.83,78.17
Uttar Pradesh,Prayagraj,5959798,5481,25.45,81.85
Uttar Pradesh,Ambedkar Nagar,2398709,2372,0.00,0.00
Uttar Pradesh,Amethi,2549935,3063,26.17,81.78
Uttar Pradesh,Amroha,1838771,2321,28.90,78.47
Uttar Pradesh,Auraiya,1372287,2051,26.47,79.52
Uttar Pradesh,Azamgarh,4616509,4053,26.60,83.18
Uttar Pradesh,Bagpat,1302156,1345,28.93,77.22
Uttar Pradesh,Bahraich,2384239,4926,27.57,81.58
Uttar Pradesh,Ballia,3223642,2981,28.20,79.37
Uttar Pradesh,Balrampur,2149066,3349,27.43,82.18
Uttar Pradesh,Banda,1799541,4413,0.00,0.00
Uttar Pradesh,Barabanki,3257983,3825,26.92,81.20
Uttar Pradesh,Bareilly,4465344,4120,28.42,79.38
Uttar Pradesh,Basti,2461056,2687,27.25,83.00
Uttar Pradesh,Bhadohi,1554203,960,25.33,82.47
Uttar Pradesh,Bijnor,3683896,4561,29.42,78.52
Uttar Pradesh,Budaun,3712738,5168,28.12,78.98
Uttar Pradesh,Bulandshahr,3498507,3719,28.42,77.83
Uttar Pradesh,Chandauli,1952713,2554,25.25,83.25
Uttar Pradesh,Chitrakoot,990626,3202,25.20,80.90
Uttar Pradesh,Deoria,3098637,2535,26.50,83.77
Uttar Pradesh,Etah,1761152,2456,27.63,78.67
Uttar Pradesh,Etawah,1579160,2287,26.78,79.02
Uttar Pradesh,Ayodhya,2468371,2765,26.80,82.20
Uttar Pradesh,Farrukhabad,1887577,2279,27.50,79.50
Uttar Pradesh,Fatehpur,2632684,4152,0.00,0.00
Uttar Pradesh,Firozabad,2496761,2361,27.15,78.40
Uttar Pradesh,Gautam Buddh Nagar,1674714,1269,28.53,77.38
Uttar Pradesh,Ghaziabad,4661452,1175,28.67,77.42
Uttar Pradesh,Ghazipur,3622727,3377,25.62,83.57
Uttar Pradesh,Gonda,3431386,4425,27.25,82.00
Uttar Pradesh,Gorakhpur,4436275,3325,26.75,83.40
Uttar Pradesh,Hamirpur,1104021,4325,0.00,0.00
Uttar Pradesh,Hapur,1338211,660,28.72,77.77
Uttar Pradesh,Hardoi,4091380,5986,27.42,80.25
Uttar Pradesh,Hathras,1565678,1752,27.60,78.05
Uttar Pradesh,Jalaun,1670718,4565,26.00,79.50
Uttar Pradesh,Jaunpur,4476072,4038,25.75,82.75
Uttar Pradesh,Jhansi,2000755,5024,25.50,78.50
Uttar Pradesh,Kannauj,1658005,1993,27.07,79.92
Uttar Pradesh,Kanpur Dehat,1795092,3021,26.33,79.97
Uttar Pradesh,Kanpur Nagar,4572951,3156,26.45,80.32
Uttar Pradesh,Kasganj,1438156,1955,27.82,78.65
Uttar Pradesh,Kaushambi,1596909,1837,25.52,81.37
Uttar Pradesh,Kushinagar,3560830,2909,26.90,83.97
Uttar Pradesh,Lakhimpur Kheri,4013634,7674,27.60,80.33
Uttar Pradesh,Lalitpur,1218002,5039,0.00,0.00
Uttar Pradesh,Lucknow,4588455,2528,26.75,81.00
Uttar Pradesh,Maharajganj,2665292,2953,0.00,0.00
Uttar Pradesh,Mahoba,876055,2847,25.28,79.87
Uttar Pradesh,Mainpuri,1847194,2760,27.17,79.00
Uttar Pradesh,Mathura,2541894,3333,27.28,77.42
Uttar Pradesh,Mau,2205170,1713,25.93,83.57
Uttar Pradesh,Meerut,3447405,2522,28.98,77.70
Uttar Pradesh,Mirzapur,2494533,4522,25.15,82.55
Uttar Pradesh,Moradabad,4773138,3718,28.83,78.78
Uttar Pradesh,Muzaffarnagar,4138605,4008,29.45,77.58
Uttar Pradesh,Pilibhit,2037225,3499,28.55,80.10
Uttar Pradesh,Pratapgarh,3173752,3717,0.00,0.00
Uttar Pradesh,Raebareli,3404004,4609,26.22,81.23
Uttar Pradesh,Rampur,2335398,2367,28.80,79.02
Uttar Pradesh,Saharanpur,3464228,3689,29.97,77.55
Uttar Pradesh,Sambhal,2217020,2453,28.57,78.55
Uttar Pradesh,Sant Kabir Nagar,1714300,1442,26.77,83.05
Uttar Pradesh,Shahjahanpur,3002376,4575,28.00,79.83
Uttar Pradesh,Shamli,1274815,1063,29.45,77.32
Uttar Pradesh,Shravasti,1114615,1948,27.70,81.93
Uttar Pradesh,Siddharthnagar,2553526,2751,27.00,82.75
Uttar Pradesh,Sitapur,4474446,5743,27.50,80.92
Uttar Pradesh,Sonbhadra,1862612,6788,24.68,83.05
Uttar Pradesh,Sultanpur,3790922,4436,26.25,82.00
Uttar Pradesh,Unnao,3110595,4561,26.55,80.47
Uttar Pradesh,Varanasi,3682194,1535,25.33,83.00
Uttarakhand,Almora,621927,3090,29.58,79.65
Uttarakhand,Bageshwar,259840,2310,29.85,79.77
Uttarakhand,Chamoli,391114,7692,30.42,79.33
Uttarakhand,Champawat,259315,1781,29.33,80.10
Uttarakhand,Dehradun,1698560,3088,30.33,78.07
Uttarakhand,Haridwar,1927029,2360,29.97,78.17
Uttarakhand,Nainital,955128,3853,29.33,79.50
Uttarakhand,Pauri Garhwal,686527,5438,0.00,0.00
Uttarakhand,Pithoragarh,485993,7110,30.00,80.33
Uttarakhand,Rudraprayag,236857,1896,30.28,78.98
Uttarakhand,Tehri Garhwal,616409,4085,30.38,78.48
Uttarakhand,Udham Singh Nagar,1648367,2912,28.98,79.40
Uttarakhand,Uttarkashi,329686,7951,30.73,78.45
West Bengal,Alipurduar,1700000,3383,26.48,89.52
West Bengal,Bankura,3596292,6882,23.25,87.07
West Bengal,Paschim Bardhaman,2882031,1603,0.00,0.00
West Bengal,Purba Bardhaman,4835532,5433,0.00,0.00
West Bengal,Birbhum,3502387,4545,0.00,0.00
West Bengal,Cooch Behar,2822780,3387,26.32,89.45
West Bengal,Dakshin Dinajpur,1670931,2183,25.22,88.77
West Bengal,Darjeeling,1842034,3149,27.03,88.17
West Bengal,Hooghly,5520389,3149,0.00,0.00
West Bengal,Howrah,4841638,1467,22.58,88.25
West Bengal,Jalpaiguri,3869675,6227,26.70,89.00
West Bengal,Jhargram,1136548,3038,22.45,86.98
West Bengal,Kalimpong,251642,1054,27.07,88.47
West Bengal,Kolkata,4486679,185,22.57,88.37
West Bengal,Maldah,3997970,3733,25.00,88.15
West Bengal,Murshidabad,7102430,5324,24.13,88.27
West Bengal,Nadia,5168488,3927,23.40,88.50
West Bengal,North 24 Parganas,10082852,4094,22.13,88.50
West Bengal,Paschim Medinipur,5094238,9345,0.00,0.00
West Bengal,Purba Medinipur,4417377,4736,0.00,0.00
West Bengal,Purulia,2927965,6259,23.33,86.37
West Bengal,South 24 Parganas,8153176,9960,22.53,88.33
West Bengal,Uttar Dinajpur,3000849,3180,25.62,88.12
Andaman and Nicobar,Nicobar,36842,1841,9.15,92.75
Andaman and Nicobar,North and Middle Andaman,105597,3736,12.92,92.90
Andaman and Nicobar,South Andaman,238142,2672,11.67,92.73
Chandigarh,Chandigarh,1055450,114,30.75,76.78
Dadra and Nagar Haveli and Daman and Diu,Daman,191173,72,0.00,0.00
Dadra and Nagar Haveli and Daman and Diu,Diu,52074,39,20.72,70.98
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,343709,491,20.27,73.02
Jammu and Kashmir,Anantnag,1070144,2853,33.73,75.15
Jammu and Kashmir,Bandipora,385099,3010,34.42,74.65
Jammu and Kashmir,Baramulla,1015503,3329,34.18,74.35
Jammu and Kashmir,Badgam,735753,1406,34.02,74.77
Jammu and Kashmir,Doda,409576,11691,33.13,75.53
Jammu and Kashmir,Ganderbal,297003,258,34.23,74.78
Jammu and Kashmir,Jammu,1526406,3097,32.73,74.87
Jammu and Kashmir,Kathua,615711,2651,32.58,75.50
Jammu and Kashmir,Kishtwar,230696,7737,33.30,75.77
Jammu and Kashmir,Kulgam,422786,457,33.63,75.02
Jammu and Kashmir,Kupwara,875564,2379,34.52,74.25
Jammu and Kashmir,Poonch,476820,1674,0.00,0.00
Jammu and Kashmir,Pulwama,570060,1398,33.87,74.88
Jammu and Kashmir,Rajouri,619266,2630,33.25,74.25
Jammu and Kashmir,Ramban,283313,1330,33.23,75.23
Jammu and Kashmir,Reasi,314714,1710,33.08,74.83
Jammu and Kashmir,Samba,318611,913,32.55,75.12
Jammu and Kashmir,Shopian,265960,312,33.72,74.83
Jammu and Kashmir,Srinagar,1269751,2228,34.08,74.83
Jammu and Kashmir,Udhampur,555357,4550,33.00,75.17
Ladakh,Kargil,143388,14036,34.55,76.13
Ladakh,Leh,147104,45110,34.17,77.58
Lakshadweep,Lakshadweep,64473,30,10.57,72.63
Delhi,Central Delhi,582320,25,28.63,77.23
Delhi,East Delhi,1709346,440,28.63,77.28
Delhi,New Delhi,142004,22,28.60,77.20
Delhi,North Delhi,887978,59,28.67,77.22
Delhi,North East Delhi,2241624,52,28.68,77.30
Delhi,North West Delhi,3656539,130,28.68,77.12
Delhi,Shahdara,0,59.75,28.67,77.27
Delhi,South Delhi,2731929,250,28.55,77.18
Delhi,South East Delhi,0,0,28.60,77.13
Delhi,South West Delhi,2292958,395,28.60,77.13
Delhi,West Delhi,2543243,112,28.65,77.10
Puducherry,Karaikal,200222,157,11.02,79.87
Puducherry,Mahé,41816,9,0.00,0.00
Puducherry,Pondicherry,950289,293,11.92,79.82
Puducherry,Yanam,55626,30,11.02,79.87
